Question,Answer,Categories,Tags
Who is the maker of C3?,The C3 probe is made by ATL.,['Manufacturer'],"['ATL', 'C3']"
Is C3 made by ATL or Philips?,The C3 probe is made by ATL.,['Manufacturer'],"['ATL', 'C3']"
What systems is ATL C3 compatible with?,The ATL C3 is compatible with HDI 5000 ultrasound systems.,['Compatibility'],"['ATL', 'C3', 'HDI 5000']"
Can the ATL C3 work with the HDI 5000?,"Yes, the ATL C3 is compatible with the HDI 5000 ultrasound system.",['Compatibility'],"['ATL', 'C3', 'HDI 5000']"
Does the ATL C3 work with the Sequoia?,"No, the ATL C3 is not compatible with the Sequoia ultrasound system.",['Compatibility'],"['ATL', 'C3']"
What type of probe is the ATL C3?,The ATL C3 is a Convex Array probe with a frequency range of 3 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'C3', 'Convex Array']"
What can the ATL C3 be used for?,"The ATL C3 can be used for abdominal, general applications.",['Applications'],"['ATL', 'C3', 'abdominal, general']"
Do you have any ATL C3 for sale?,We currently do not have any ATL C3 in stock.,['Stock'],"['ATL', 'C3']"
Do you have any C3 for HDI 5000 for sale?,"Unfortunately, we do not have any ATL C3 for the HDI 5000 available for sale.","['Stock', 'Compatibility']","['ATL', 'C3', 'HDI 5000']"
Who is the manufacturer of C4-2 transducer?,The C4-2 probe is made by ATL.,['Manufacturer'],"['ATL', 'C4-2']"
Is C4-2 made by ATL or G.E.?,The C4-2 probe is made by ATL.,['Manufacturer'],"['ATL', 'C4-2']"
What systems is ATL C4-2 compatible with?,The ATL C4-2 is compatible with HDI 5000 ultrasound systems.,['Compatibility'],"['ATL', 'C4-2', 'HDI 5000']"
Can the ATL C4-2 work with the HDI 5000?,"Yes, the ATL C4-2 is compatible with the HDI 5000 ultrasound system.",['Compatibility'],"['ATL', 'C4-2', 'HDI 5000']"
Can the ATL C4-2 work with the CX50?,"No, the ATL C4-2 is not compatible with the CX50 ultrasound system.",['Compatibility'],"['ATL', 'C4-2']"
What type of probe is the ATL C4-2?,The ATL C4-2 is a Convex Array probe with a frequency range of 2-4 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'C4-2', 'Convex Array']"
What can the ATL C4-2 be used for?,"The ATL C4-2 can be used for abdominal, obstetric, gynecologic, general applications.",['Applications'],"['ATL', 'C4-2', 'abdominal, obstetric, gynecologic, general']"
Do you have any ATL C4-2 in stock?,"Yes, we currently have ATL C4-2 available for sale.",['Stock'],"['ATL', 'C4-2']"
Do you have any C4-2 for HDI 5000 for sale?,"Yes, we currently have the ATL C4-2 for the HDI 5000 available for sale.","['Stock', 'Compatibility']","['ATL', 'C4-2', 'HDI 5000']"
Who is the manufacturer of C5-2 transducer?,The C5-2 probe is made by ATL.,['Manufacturer'],"['ATL', 'C5-2']"
Is C5-2 made by ATL or Philips?,The C5-2 is made by both ATL and Philips.,['Manufacturer'],"['ATL', 'C5-2']"
What systems is ATL C5-2 compatible with?,"The ATL C5-2 is compatible with HDI 1500,  HDI 3000,  HDI 3500,  HDI 5000 ultrasound systems.",['Compatibility'],"['ATL', 'C5-2', 'HDI 1500, HDI 3000, HDI 3500, HDI 5000']"
Can the ATL C5-2 work with the HDI 1500?,"Yes, the ATL C5-2 is compatible with the HDI 1500 ultrasound system, as well as  HDI 3000,  HDI 3500,  HDI 5000.",['Compatibility'],"['ATL', 'C5-2', 'HDI 1500']"
Can the ATL C5-2 work with the EPIQ?,"No, the ATL C5-2 is not compatible with the EPIQ ultrasound system.",['Compatibility'],"['ATL', 'C5-2']"
What type of probe is the ATL C5-2?,The ATL C5-2 is a Convex Array probe with a frequency range of 2-5 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'C5-2', 'Convex Array']"
What can the ATL C5-2 be used for?,The ATL C5-2 can be used for abdominal applications.,['Applications'],"['ATL', 'C5-2', 'abdominal']"
Do you have any ATL C5-2 for sale?,"Yes, we currently have ATL C5-2 available for sale.",['Stock'],"['ATL', 'C5-2']"
Do you have any C5-2 for HDI 5000 for sale?,"Yes, we currently have the ATL C5-2 for the HDI 5000 available for sale.","['Stock', 'Compatibility']","['ATL', 'C5-2', 'HDI 5000']"
Who is the maker of C5-IVT probe?,The C5-IVT probe is made by ATL.,['Manufacturer'],"['ATL', 'C5-IVT']"
Is C5-IVT made by ATL or Siemens Acuson?,The C5-IVT probe is made by ATL.,['Manufacturer'],"['ATL', 'C5-IVT']"
What systems is ATL C5-IVT compatible with?,"The ATL C5-IVT is compatible with UM9 HDI,  HDI 1500,  HDI 3000,  HDI 3500,  HDI 5000 ultrasound systems.",['Compatibility'],"['ATL', 'C5-IVT', 'UM9 HDI, HDI 1500, HDI 3000, HDI 3500, HDI 5000']"
Does the ATL C5-IVT work with the  HDI 3000?,"Yes, the ATL C5-IVT is compatible with the  HDI 3000 ultrasound system, as well as UM9 HDI,  HDI 1500,  HDI 3500,  HDI 5000.",['Compatibility'],"['ATL', 'C5-IVT', ' HDI 3000']"
Can the ATL C5-IVT work with the Juniper?,"No, the ATL C5-IVT is not compatible with the Juniper ultrasound system.",['Compatibility'],"['ATL', 'C5-IVT']"
What type of probe is the ATL C5-IVT?,The ATL C5-IVT is a Convex Array probe with a frequency range of 4-6 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'C5-IVT', 'Convex Array']"
What can the ATL C5-IVT be used for?,"The ATL C5-IVT can be used for intracavitary, endovaginal, gynecological applications.",['Applications'],"['ATL', 'C5-IVT', 'intracavitary, endovaginal, gynecological']"
Do you have any ATL C5-IVT for sale?,We currently do not have any ATL C5-IVT in stock.,['Stock'],"['ATL', 'C5-IVT']"
Do you have any C5-IVT for UM9 HDI for sale?,"Unfortunately, we do not have any ATL C5-IVT for the UM9 HDI available for sale.","['Stock', 'Compatibility']","['ATL', 'C5-IVT', 'UM9 HDI']"
Who is the maker of C7-4 probe?,The C7-4 probe is made by ATL.,['Manufacturer'],"['ATL', 'C7-4']"
Is C7-4 made by ATL or G.E.?,The C7-4 probe is made by ATL.,['Manufacturer'],"['ATL', 'C7-4']"
What systems is ATL C7-4 compatible with?,"The ATL C7-4 is compatible with UM9 HDI,  HDI 1500,  HDI 3000,  HDI 5000 ultrasound systems.",['Compatibility'],"['ATL', 'C7-4', 'UM9 HDI, HDI 1500, HDI 3000, HDI 5000']"
Does the ATL C7-4 work with the  HDI 3000?,"Yes, the ATL C7-4 is compatible with the  HDI 3000 ultrasound system, as well as UM9 HDI,  HDI 1500,  HDI 5000.",['Compatibility'],"['ATL', 'C7-4', ' HDI 3000']"
Can the ATL C7-4 work with the HDI 4000?,"No, the ATL C7-4 is not compatible with the HDI 4000 ultrasound system.",['Compatibility'],"['ATL', 'C7-4']"
What type of probe is the ATL C7-4?,The ATL C7-4 is a Convex Array probe with a frequency range of 4-7 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'C7-4', 'Convex Array']"
What can the ATL C7-4 be used for?,"The ATL C7-4 can be used for cardiac, vascular, general applications.",['Applications'],"['ATL', 'C7-4', 'cardiac, vascular, general']"
Do you have any ATL C7-4 in stock?,We currently do not have any ATL C7-4 in stock.,['Stock'],"['ATL', 'C7-4']"
Do you have any C7-4 for HDI 1500 for sale?,"Unfortunately, we do not have any ATL C7-4 for the HDI 1500 available for sale.","['Stock', 'Compatibility']","['ATL', 'C7-4', 'HDI 1500']"
Who is the maker of C8-4v?,The C8-4v probe is made by ATL.,['Manufacturer'],"['ATL', 'C8-4v']"
Is C8-4v made by ATL or Philips?,The C8-4v is made by both ATL and Philips.,['Manufacturer'],"['ATL', 'C8-4v']"
What systems is ATL C8-4v compatible with?,"The ATL C8-4v is compatible with HDI 3000,  HDI 3500,  HDI 5000 ultrasound systems.",['Compatibility'],"['ATL', 'C8-4v', 'HDI 3000, HDI 3500, HDI 5000']"
Can the ATL C8-4v work with the HDI 3000?,"Yes, the ATL C8-4v is compatible with the HDI 3000 ultrasound system, as well as  HDI 3500,  HDI 5000.",['Compatibility'],"['ATL', 'C8-4v', 'HDI 3000']"
Can the ATL C8-4v work with the Vivid E95?,"No, the ATL C8-4v is not compatible with the Vivid E95 ultrasound system.",['Compatibility'],"['ATL', 'C8-4v']"
What type of probe is the ATL C8-4v?,The ATL C8-4v is a Convex Array probe with a frequency range of 4-8 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'C8-4v', 'Convex Array']"
What can the ATL C8-4v be used for?,"The ATL C8-4v can be used for endovaginal, gynecological, endocavitary applications.",['Applications'],"['ATL', 'C8-4v', 'endovaginal, gynecological, endocavitary']"
Do you have any ATL C8-4v in stock?,"Yes, we currently have ATL C8-4v available for sale.",['Stock'],"['ATL', 'C8-4v']"
Do you have any C8-4v for HDI 3000 for sale?,"Yes, we currently have the ATL C8-4v for the HDI 3000 available for sale.","['Stock', 'Compatibility']","['ATL', 'C8-4v', 'HDI 3000']"
Who is the manufacturer of C9-5ICT transducer?,The C9-5ICT probe is made by ATL.,['Manufacturer'],"['ATL', 'C9-5ICT']"
Is C9-5ICT made by ATL or Philips?,The C9-5ICT probe is made by ATL.,['Manufacturer'],"['ATL', 'C9-5ICT']"
What systems is ATL C9-5ICT compatible with?,"The ATL C9-5ICT is compatible with HDI 1000,  HDI 1500,  HDI 4000,  HDI 5000 ultrasound systems.",['Compatibility'],"['ATL', 'C9-5ICT', 'HDI 1000, HDI 1500, HDI 4000, HDI 5000']"
Can the ATL C9-5ICT work with the  HDI 1500?,"Yes, the ATL C9-5ICT is compatible with the  HDI 1500 ultrasound system, as well as HDI 1000,  HDI 4000,  HDI 5000.",['Compatibility'],"['ATL', 'C9-5ICT', ' HDI 1500']"
Does the ATL C9-5ICT work with the S1000?,"No, the ATL C9-5ICT is not compatible with the S1000 ultrasound system.",['Compatibility'],"['ATL', 'C9-5ICT']"
What type of probe is the ATL C9-5ICT?,The ATL C9-5ICT is a Convex Array probe with a frequency range of 5-9 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'C9-5ICT', 'Convex Array']"
What can the ATL C9-5ICT be used for?,"The ATL C9-5ICT can be used for intracavitary, prenatal, obstetric, gynecological applications.",['Applications'],"['ATL', 'C9-5ICT', 'intracavitary, prenatal, obstetric, gynecological']"
Do you have any ATL C9-5ICT in stock?,We currently do not have any ATL C9-5ICT in stock.,['Stock'],"['ATL', 'C9-5ICT']"
Do you have any C9-5ICT for HDI 1000 for sale?,"Unfortunately, we do not have any ATL C9-5ICT for the HDI 1000 available for sale.","['Stock', 'Compatibility']","['ATL', 'C9-5ICT', 'HDI 1000']"
Who is the maker of CL 10-5 probe?,The CL 10-5 probe is made by ATL.,['Manufacturer'],"['ATL', 'CL 10-5']"
Is CL 10-5 made by ATL or Siemens Acuson?,The CL 10-5 probe is made by ATL.,['Manufacturer'],"['ATL', 'CL 10-5']"
What systems is ATL CL 10-5 compatible with?,"The ATL CL 10-5 is compatible with HDI 3000,  HDI 5000 ultrasound systems.",['Compatibility'],"['ATL', 'CL 10-5', 'HDI 3000, HDI 5000']"
Does the ATL CL 10-5 work with the  HDI 5000?,"Yes, the ATL CL 10-5 is compatible with the  HDI 5000 ultrasound system, as well as HDI 3000.",['Compatibility'],"['ATL', 'CL 10-5', ' HDI 5000']"
Does the ATL CL 10-5 work with the LOGIQ E9?,"No, the ATL CL 10-5 is not compatible with the LOGIQ E9 ultrasound system.",['Compatibility'],"['ATL', 'CL 10-5']"
What type of probe is the ATL CL 10-5?,The ATL CL 10-5 is a Linear Array probe with a frequency range of 5-10 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'CL 10-5', 'Linear Array']"
What can the ATL CL 10-5 be used for?,"The ATL CL 10-5 can be used for small parts, vascular applications.",['Applications'],"['ATL', 'CL 10-5', 'small parts, vascular']"
Do you have any ATL CL 10-5 for sale?,We currently do not have any ATL CL 10-5 in stock.,['Stock'],"['ATL', 'CL 10-5']"
Do you have any CL 10-5 for HDI 5000 for sale?,"Unfortunately, we do not have any ATL CL 10-5 for the HDI 5000 available for sale.","['Stock', 'Compatibility']","['ATL', 'CL 10-5', 'HDI 5000']"
Who is the maker of CT8-4?,The CT8-4 probe is made by ATL.,['Manufacturer'],"['ATL', 'CT8-4']"
Is CT8-4 made by ATL or Siemens Acuson?,The CT8-4 probe is made by ATL.,['Manufacturer'],"['ATL', 'CT8-4']"
What systems is ATL CT8-4 compatible with?,"The ATL CT8-4 is compatible with HDI 1000,  HDI 3000,  HDI 3500,  HDI 5000 ultrasound systems.",['Compatibility'],"['ATL', 'CT8-4', 'HDI 1000, HDI 3000, HDI 3500, HDI 5000']"
Does the ATL CT8-4 work with the  HDI 5000?,"Yes, the ATL CT8-4 is compatible with the  HDI 5000 ultrasound system, as well as HDI 1000,  HDI 3000,  HDI 3500.",['Compatibility'],"['ATL', 'CT8-4', ' HDI 5000']"
Can the ATL CT8-4 work with the HDI 4000?,"No, the ATL CT8-4 is not compatible with the HDI 4000 ultrasound system.",['Compatibility'],"['ATL', 'CT8-4']"
What type of probe is the ATL CT8-4?,The ATL CT8-4 is a Linear Array probe with a frequency range of 4-8 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'CT8-4', 'Linear Array']"
What can the ATL CT8-4 be used for?,"The ATL CT8-4 can be used for abdominal, surgical applications.",['Applications'],"['ATL', 'CT8-4', 'abdominal, surgical']"
Do you have any ATL CT8-4 for sale?,"Yes, we currently have ATL CT8-4 available for sale.",['Stock'],"['ATL', 'CT8-4']"
Do you have any CT8-4 for HDI 1000 for sale?,"Yes, we currently have the ATL CT8-4 for the HDI 1000 available for sale.","['Stock', 'Compatibility']","['ATL', 'CT8-4', 'HDI 1000']"
Who is the maker of L10-5 transducer?,The L10-5 probe is made by ATL.,['Manufacturer'],"['ATL', 'L10-5']"
Is L10-5 made by ATL or Philips?,The L10-5 probe is made by ATL.,['Manufacturer'],"['ATL', 'L10-5']"
What systems is ATL L10-5 compatible with?,The ATL L10-5 is compatible with HDI 5000 ultrasound systems.,['Compatibility'],"['ATL', 'L10-5', 'HDI 5000']"
Does the ATL L10-5 work with the HDI 5000?,"Yes, the ATL L10-5 is compatible with the HDI 5000 ultrasound system.",['Compatibility'],"['ATL', 'L10-5', 'HDI 5000']"
Does the ATL L10-5 work with the Juniper?,"No, the ATL L10-5 is not compatible with the Juniper ultrasound system.",['Compatibility'],"['ATL', 'L10-5']"
What type of probe is the ATL L10-5?,The ATL L10-5 is a Linear Array probe with a frequency range of 5-10 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'L10-5', 'Linear Array']"
What can the ATL L10-5 be used for?,"The ATL L10-5 can be used for vascular, small parts, cardiac applications.",['Applications'],"['ATL', 'L10-5', 'vascular, small parts, cardiac']"
Do you have any ATL L10-5 in stock?,"Yes, we currently have ATL L10-5 available for sale.",['Stock'],"['ATL', 'L10-5']"
Do you have any L10-5 for HDI 5000 for sale?,"Yes, we currently have the ATL L10-5 for the HDI 5000 available for sale.","['Stock', 'Compatibility']","['ATL', 'L10-5', 'HDI 5000']"
Who is the maker of L12-5 transducer?,The L12-5 probe is made by ATL.,['Manufacturer'],"['ATL', 'L12-5']"
Is L12-5 made by ATL or Siemens Acuson?,The L12-5 probe is made by ATL.,['Manufacturer'],"['ATL', 'L12-5']"
What systems is ATL L12-5 compatible with?,The ATL L12-5 is compatible with HDI 5000 ultrasound systems.,['Compatibility'],"['ATL', 'L12-5', 'HDI 5000']"
Can the ATL L12-5 work with the HDI 5000?,"Yes, the ATL L12-5 is compatible with the HDI 5000 ultrasound system.",['Compatibility'],"['ATL', 'L12-5', 'HDI 5000']"
Can the ATL L12-5 work with the S3000?,"No, the ATL L12-5 is not compatible with the S3000 ultrasound system.",['Compatibility'],"['ATL', 'L12-5']"
What type of probe is the ATL L12-5?,The ATL L12-5 is a Linear Array probe with a frequency range of 5-12 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'L12-5', 'Linear Array']"
What can the ATL L12-5 be used for?,"The ATL L12-5 can be used for general, small parts, vascular applications.",['Applications'],"['ATL', 'L12-5', 'general, small parts, vascular']"
Do you have any ATL L12-5 for sale?,"Yes, we currently have ATL L12-5 available for sale.",['Stock'],"['ATL', 'L12-5']"
Do you have any L12-5 for HDI 5000 for sale?,"Yes, we currently have the ATL L12-5 for the HDI 5000 available for sale.","['Stock', 'Compatibility']","['ATL', 'L12-5', 'HDI 5000']"
Who is the maker of L7-4 probe?,The L7-4 probe is made by ATL.,['Manufacturer'],"['ATL', 'L7-4']"
Is L7-4 made by ATL or Siemens Acuson?,The L7-4 probe is made by ATL.,['Manufacturer'],"['ATL', 'L7-4']"
What systems is ATL L7-4 compatible with?,"The ATL L7-4 is compatible with UM9 HDI,  HDI 1500,  HDI 3000,  HDI 5000 ultrasound systems.",['Compatibility'],"['ATL', 'L7-4', 'UM9 HDI, HDI 1500, HDI 3000, HDI 5000']"
Does the ATL L7-4 work with the  HDI 5000?,"Yes, the ATL L7-4 is compatible with the  HDI 5000 ultrasound system, as well as UM9 HDI,  HDI 1500,  HDI 3000.",['Compatibility'],"['ATL', 'L7-4', ' HDI 5000']"
Does the ATL L7-4 work with the Sequoia?,"No, the ATL L7-4 is not compatible with the Sequoia ultrasound system.",['Compatibility'],"['ATL', 'L7-4']"
What type of probe is the ATL L7-4?,The ATL L7-4 is a Linear Array probe with a frequency range of 4-7 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'L7-4', 'Linear Array']"
What can the ATL L7-4 be used for?,"The ATL L7-4 can be used for vascular, pediatric applications.",['Applications'],"['ATL', 'L7-4', 'vascular, pediatric']"
Do you have any ATL L7-4 for sale?,We currently do not have any ATL L7-4 in stock.,['Stock'],"['ATL', 'L7-4']"
Do you have any L7-4 for HDI 5000 for sale?,"Unfortunately, we do not have any ATL L7-4 for the HDI 5000 available for sale.","['Stock', 'Compatibility']","['ATL', 'L7-4', 'HDI 5000']"
Who is the maker of MPT 7-4 transducer?,The MPT 7-4 probe is made by ATL.,['Manufacturer'],"['ATL', 'MPT 7-4']"
Is MPT 7-4 made by ATL or G.E.?,The MPT 7-4 probe is made by ATL.,['Manufacturer'],"['ATL', 'MPT 7-4']"
What systems is ATL MPT 7-4 compatible with?,The ATL MPT 7-4 is compatible with HDI 5000 ultrasound systems.,['Compatibility'],"['ATL', 'MPT 7-4', 'HDI 5000']"
Does the ATL MPT 7-4 work with the HDI 5000?,"Yes, the ATL MPT 7-4 is compatible with the HDI 5000 ultrasound system.",['Compatibility'],"['ATL', 'MPT 7-4', 'HDI 5000']"
Does the ATL MPT 7-4 work with the Voluson E8?,"No, the ATL MPT 7-4 is not compatible with the Voluson E8 ultrasound system.",['Compatibility'],"['ATL', 'MPT 7-4']"
What type of probe is the ATL MPT 7-4?,The ATL MPT 7-4 is a TEE probe with a frequency range of 4-7 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'MPT 7-4', 'TEE']"
What can the ATL MPT 7-4 be used for?,"The ATL MPT 7-4 can be used for cardiac, transesophageal applications.",['Applications'],"['ATL', 'MPT 7-4', 'cardiac, transesophageal']"
Do you have any ATL MPT 7-4 for sale?,We currently do not have any ATL MPT 7-4 in stock.,['Stock'],"['ATL', 'MPT 7-4']"
Do you have any MPT 7-4 for HDI 5000 for sale?,"Unfortunately, we do not have any ATL MPT 7-4 for the HDI 5000 available for sale.","['Stock', 'Compatibility']","['ATL', 'MPT 7-4', 'HDI 5000']"
Who is the manufacturer of P3-2?,The P3-2 probe is made by ATL.,['Manufacturer'],"['ATL', 'P3-2']"
Is P3-2 made by ATL or Philips?,The P3-2 probe is made by ATL.,['Manufacturer'],"['ATL', 'P3-2']"
What systems is ATL P3-2 compatible with?,The ATL P3-2 is compatible with HDI 5000 ultrasound systems.,['Compatibility'],"['ATL', 'P3-2', 'HDI 5000']"
Can the ATL P3-2 work with the HDI 5000?,"Yes, the ATL P3-2 is compatible with the HDI 5000 ultrasound system.",['Compatibility'],"['ATL', 'P3-2', 'HDI 5000']"
Can the ATL P3-2 work with the HDI 4000?,"No, the ATL P3-2 is not compatible with the HDI 4000 ultrasound system.",['Compatibility'],"['ATL', 'P3-2']"
What type of probe is the ATL P3-2?,The ATL P3-2 is a Phased Array probe with a frequency range of 2-3 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'P3-2', 'Phased Array']"
What can the ATL P3-2 be used for?,"The ATL P3-2 can be used for cardiac, general applications.",['Applications'],"['ATL', 'P3-2', 'cardiac, general']"
Do you have any ATL P3-2 for sale?,We currently do not have any ATL P3-2 in stock.,['Stock'],"['ATL', 'P3-2']"
Do you have any P3-2 for HDI 5000 for sale?,"Unfortunately, we do not have any ATL P3-2 for the HDI 5000 available for sale.","['Stock', 'Compatibility']","['ATL', 'P3-2', 'HDI 5000']"
Who is the maker of P4-1 transducer?,The P4-1 probe is made by ATL.,['Manufacturer'],"['ATL', 'P4-1']"
Is P4-1 made by ATL or Philips?,The P4-1 probe is made by ATL.,['Manufacturer'],"['ATL', 'P4-1']"
What systems is ATL P4-1 compatible with?,The ATL P4-1 is compatible with HDI 5000 ultrasound systems.,['Compatibility'],"['ATL', 'P4-1', 'HDI 5000']"
Can the ATL P4-1 work with the HDI 5000?,"Yes, the ATL P4-1 is compatible with the HDI 5000 ultrasound system.",['Compatibility'],"['ATL', 'P4-1', 'HDI 5000']"
Does the ATL P4-1 work with the HD11XE?,"No, the ATL P4-1 is not compatible with the HD11XE ultrasound system.",['Compatibility'],"['ATL', 'P4-1']"
What type of probe is the ATL P4-1?,The ATL P4-1 is a Phased Array probe with a frequency range of 1-4 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'P4-1', 'Phased Array']"
What can the ATL P4-1 be used for?,"The ATL P4-1 can be used for cardiac, general applications.",['Applications'],"['ATL', 'P4-1', 'cardiac, general']"
Do you have any ATL P4-1 for sale?,"Yes, we currently have ATL P4-1 available for sale.",['Stock'],"['ATL', 'P4-1']"
Do you have any P4-1 for HDI 5000 for sale?,"Yes, we currently have the ATL P4-1 for the HDI 5000 available for sale.","['Stock', 'Compatibility']","['ATL', 'P4-1', 'HDI 5000']"
Who is the manufacturer of P4-2 transducer?,The P4-2 probe is made by ATL.,['Manufacturer'],"['ATL', 'P4-2']"
Is P4-2 made by ATL or Philips?,The P4-2 probe is made by ATL.,['Manufacturer'],"['ATL', 'P4-2']"
What systems is ATL P4-2 compatible with?,The ATL P4-2 is compatible with HDI 5000 ultrasound systems.,['Compatibility'],"['ATL', 'P4-2', 'HDI 5000']"
Can the ATL P4-2 work with the HDI 5000?,"Yes, the ATL P4-2 is compatible with the HDI 5000 ultrasound system.",['Compatibility'],"['ATL', 'P4-2', 'HDI 5000']"
Does the ATL P4-2 work with the EPIQ 7?,"No, the ATL P4-2 is not compatible with the EPIQ 7 ultrasound system.",['Compatibility'],"['ATL', 'P4-2']"
What type of probe is the ATL P4-2?,The ATL P4-2 is a Phased Array probe with a frequency range of 2-4 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'P4-2', 'Phased Array']"
What can the ATL P4-2 be used for?,"The ATL P4-2 can be used for cardiac, general applications.",['Applications'],"['ATL', 'P4-2', 'cardiac, general']"
Do you have any ATL P4-2 for sale?,We currently do not have any ATL P4-2 in stock.,['Stock'],"['ATL', 'P4-2']"
Do you have any P4-2 for HDI 5000 for sale?,"Unfortunately, we do not have any ATL P4-2 for the HDI 5000 available for sale.","['Stock', 'Compatibility']","['ATL', 'P4-2', 'HDI 5000']"
Who is the manufacturer of P5-3 transducer?,The P5-3 probe is made by ATL.,['Manufacturer'],"['ATL', 'P5-3']"
Is P5-3 made by ATL or Philips?,The P5-3 probe is made by ATL.,['Manufacturer'],"['ATL', 'P5-3']"
What systems is ATL P5-3 compatible with?,The ATL P5-3 is compatible with HDI 5000 ultrasound systems.,['Compatibility'],"['ATL', 'P5-3', 'HDI 5000']"
Does the ATL P5-3 work with the HDI 5000?,"Yes, the ATL P5-3 is compatible with the HDI 5000 ultrasound system.",['Compatibility'],"['ATL', 'P5-3', 'HDI 5000']"
Does the ATL P5-3 work with the LOGIQ 700?,"No, the ATL P5-3 is not compatible with the LOGIQ 700 ultrasound system.",['Compatibility'],"['ATL', 'P5-3']"
What type of probe is the ATL P5-3?,The ATL P5-3 is a Phased Array probe with a frequency range of 3-5 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'P5-3', 'Phased Array']"
What can the ATL P5-3 be used for?,"The ATL P5-3 can be used for cardiac, abdominal applications.",['Applications'],"['ATL', 'P5-3', 'cardiac, abdominal']"
Do you have any ATL P5-3 for sale?,We currently do not have any ATL P5-3 in stock.,['Stock'],"['ATL', 'P5-3']"
Do you have any P5-3 for HDI 5000 for sale?,"Unfortunately, we do not have any ATL P5-3 for the HDI 5000 available for sale.","['Stock', 'Compatibility']","['ATL', 'P5-3', 'HDI 5000']"
Who is the manufacturer of P6-3 probe?,The P6-3 probe is made by ATL.,['Manufacturer'],"['ATL', 'P6-3']"
Is P6-3 made by ATL or Siemens Acuson?,The P6-3 probe is made by ATL.,['Manufacturer'],"['ATL', 'P6-3']"
What systems is ATL P6-3 compatible with?,The ATL P6-3 is compatible with HDI 5000 ultrasound systems.,['Compatibility'],"['ATL', 'P6-3', 'HDI 5000']"
Can the ATL P6-3 work with the HDI 5000?,"Yes, the ATL P6-3 is compatible with the HDI 5000 ultrasound system.",['Compatibility'],"['ATL', 'P6-3', 'HDI 5000']"
Can the ATL P6-3 work with the HDI 3000?,"No, the ATL P6-3 is not compatible with the HDI 3000 ultrasound system.",['Compatibility'],"['ATL', 'P6-3']"
What type of probe is the ATL P6-3?,The ATL P6-3 is a Phased Array probe with a frequency range of 3-6 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'P6-3', 'Phased Array']"
What can the ATL P6-3 be used for?,"The ATL P6-3 can be used for cardiac, vascular, general applications.",['Applications'],"['ATL', 'P6-3', 'cardiac, vascular, general']"
Do you have any ATL P6-3 for sale?,We currently do not have any ATL P6-3 in stock.,['Stock'],"['ATL', 'P6-3']"
Do you have any P6-3 for HDI 5000 for sale?,"Unfortunately, we do not have any ATL P6-3 for the HDI 5000 available for sale.","['Stock', 'Compatibility']","['ATL', 'P6-3', 'HDI 5000']"
Who is the maker of P7-4?,The P7-4 probe is made by ATL.,['Manufacturer'],"['ATL', 'P7-4']"
Is P7-4 made by ATL or G.E.?,The P7-4 probe is made by ATL.,['Manufacturer'],"['ATL', 'P7-4']"
What systems is ATL P7-4 compatible with?,The ATL P7-4 is compatible with HDI 5000 ultrasound systems.,['Compatibility'],"['ATL', 'P7-4', 'HDI 5000']"
Does the ATL P7-4 work with the HDI 5000?,"Yes, the ATL P7-4 is compatible with the HDI 5000 ultrasound system.",['Compatibility'],"['ATL', 'P7-4', 'HDI 5000']"
Does the ATL P7-4 work with the S3000?,"No, the ATL P7-4 is not compatible with the S3000 ultrasound system.",['Compatibility'],"['ATL', 'P7-4']"
What type of probe is the ATL P7-4?,The ATL P7-4 is a Phased Array probe with a frequency range of 4-7 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'P7-4', 'Phased Array']"
What can the ATL P7-4 be used for?,"The ATL P7-4 can be used for cardiac, vascular applications.",['Applications'],"['ATL', 'P7-4', 'cardiac, vascular']"
