Question,Answer,Categories,Tags
Do you have any ATL P7-4 for sale?,We currently do not have any ATL P7-4 in stock.,['Stock'],"['ATL', 'P7-4']"
Do you have any P7-4 for HDI 5000 for sale?,"Unfortunately, we do not have any ATL P7-4 for the HDI 5000 available for sale.","['Stock', 'Compatibility']","['ATL', 'P7-4', 'HDI 5000']"
Who is the maker of 227s transducer?,The 227s probe is made by G.E..,['Manufacturer'],"['G.E.', '227s']"
Is 227s made by G.E. or Siemens Acuson?,The 227s probe is made by G.E..,['Manufacturer'],"['G.E.', '227s']"
What systems is G.E. 227s compatible with?,The G.E. 227s is compatible with LOGIQ 700 ultrasound systems.,['Compatibility'],"['G.E.', '227s', 'LOGIQ 700']"
Does the G.E. 227s work with the LOGIQ 700?,"Yes, the G.E. 227s is compatible with the LOGIQ 700 ultrasound system.",['Compatibility'],"['G.E.', '227s', 'LOGIQ 700']"
Can the G.E. 227s work with the CX50?,"No, the G.E. 227s is not compatible with the CX50 ultrasound system.",['Compatibility'],"['G.E.', '227s']"
What type of probe is the G.E. 227s?,The G.E. 227s is a Phased Array probe with a frequency range of 2-4 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['G.E.', '227s', 'Phased Array']"
What can the G.E. 227s be used for?,"The G.E. 227s can be used for cardiac, vascular, general applications.",['Applications'],"['G.E.', '227s', 'cardiac, vascular, general']"
Do you have any G.E. 227s for sale?,"Yes, we currently have G.E. 227s available for sale.",['Stock'],"['G.E.', '227s']"
Do you have any 227s for LOGIQ 700 for sale?,"Yes, we currently have the G.E. 227s for the LOGIQ 700 available for sale.","['Stock', 'Compatibility']","['G.E.', '227s', 'LOGIQ 700']"
Who is the manufacturer of 348c transducer?,The 348c probe is made by G.E..,['Manufacturer'],"['G.E.', '348c']"
Is 348c made by G.E. or Siemens Acuson?,The 348c probe is made by G.E..,['Manufacturer'],"['G.E.', '348c']"
What systems is G.E. 348c compatible with?,The G.E. 348c is compatible with LOGIQ 700 ultrasound systems.,['Compatibility'],"['G.E.', '348c', 'LOGIQ 700']"
Does the G.E. 348c work with the LOGIQ 700?,"Yes, the G.E. 348c is compatible with the LOGIQ 700 ultrasound system.",['Compatibility'],"['G.E.', '348c', 'LOGIQ 700']"
Does the G.E. 348c work with the HD9?,"No, the G.E. 348c is not compatible with the HD9 ultrasound system.",['Compatibility'],"['G.E.', '348c']"
What type of probe is the G.E. 348c?,The G.E. 348c is a Convex Array probe with a frequency range of 2.5-3.75 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['G.E.', '348c', 'Convex Array']"
What can the G.E. 348c be used for?,"The G.E. 348c can be used for abdominal, obstetric, gynecological applications.",['Applications'],"['G.E.', '348c', 'abdominal, obstetric, gynecological']"
Do you have any G.E. 348c for sale?,"Yes, we currently have G.E. 348c available for sale.",['Stock'],"['G.E.', '348c']"
Do you have any 348c for LOGIQ 700 for sale?,"Yes, we currently have the G.E. 348c for the LOGIQ 700 available for sale.","['Stock', 'Compatibility']","['G.E.', '348c', 'LOGIQ 700']"
Who is the manufacturer of 618c?,The 618c probe is made by G.E..,['Manufacturer'],"['G.E.', '618c']"
Is 618c made by G.E. or ATL?,The 618c probe is made by G.E..,['Manufacturer'],"['G.E.', '618c']"
What systems is G.E. 618c compatible with?,The G.E. 618c is compatible with LOGIQ 700 ultrasound systems.,['Compatibility'],"['G.E.', '618c', 'LOGIQ 700']"
Can the G.E. 618c work with the LOGIQ 700?,"Yes, the G.E. 618c is compatible with the LOGIQ 700 ultrasound system.",['Compatibility'],"['G.E.', '618c', 'LOGIQ 700']"
Does the G.E. 618c work with the S3000?,"No, the G.E. 618c is not compatible with the S3000 ultrasound system.",['Compatibility'],"['G.E.', '618c']"
What type of probe is the G.E. 618c?,The G.E. 618c is a Micro Convex Array probe with a frequency range of 5-6 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['G.E.', '618c', 'Micro Convex Array']"
What can the G.E. 618c be used for?,"The G.E. 618c can be used for breast, musculoskeletal, small parts, vascular applications.",['Applications'],"['G.E.', '618c', 'breast, musculoskeletal, small parts, vascular']"
Do you have any G.E. 618c for sale?,"Yes, we currently have G.E. 618c available for sale.",['Stock'],"['G.E.', '618c']"
Do you have any 618c for LOGIQ 700 for sale?,"Yes, we currently have the G.E. 618c for the LOGIQ 700 available for sale.","['Stock', 'Compatibility']","['G.E.', '618c', 'LOGIQ 700']"
Who is the maker of RAB2-5L?,The RAB2-5L probe is made by G.E..,['Manufacturer'],"['G.E.', 'RAB2-5L']"
Is RAB2-5L made by G.E. or ATL?,The RAB2-5L probe is made by G.E..,['Manufacturer'],"['G.E.', 'RAB2-5L']"
What systems is G.E. RAB2-5L compatible with?,"The G.E. RAB2-5L is compatible with Voluson 730 Pro,  Voluson 730 ultrasound systems.",['Compatibility'],"['G.E.', 'RAB2-5L', 'Voluson 730 Pro, Voluson 730']"
Does the G.E. RAB2-5L work with the Voluson 730 Pro?,"Yes, the G.E. RAB2-5L is compatible with the Voluson 730 Pro ultrasound system, as well as  Voluson 730.",['Compatibility'],"['G.E.', 'RAB2-5L', 'Voluson 730 Pro']"
Does the G.E. RAB2-5L work with the HD9?,"No, the G.E. RAB2-5L is not compatible with the HD9 ultrasound system.",['Compatibility'],"['G.E.', 'RAB2-5L']"
What type of probe is the G.E. RAB2-5L?,The G.E. RAB2-5L is a Convex Array probe with a frequency range of 2.5-5 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['G.E.', 'RAB2-5L', 'Convex Array']"
What can the G.E. RAB2-5L be used for?,"The G.E. RAB2-5L can be used for abdominal, obstetric applications.",['Applications'],"['G.E.', 'RAB2-5L', 'abdominal, obstetric']"
Do you have any G.E. RAB2-5L in stock?,"Yes, we currently have G.E. RAB2-5L available for sale.",['Stock'],"['G.E.', 'RAB2-5L']"
Do you have any RAB2-5L for Voluson 730 Pro for sale?,"Yes, we currently have the G.E. RAB2-5L for the Voluson 730 Pro available for sale.","['Stock', 'Compatibility']","['G.E.', 'RAB2-5L', 'Voluson 730 Pro']"
Who is the manufacturer of RIC5-9D?,The RIC5-9D probe is made by G.E..,['Manufacturer'],"['G.E.', 'RIC5-9D']"
Is RIC5-9D made by G.E. or Siemens Acuson?,The RIC5-9D probe is made by G.E..,['Manufacturer'],"['G.E.', 'RIC5-9D']"
What systems is G.E. RIC5-9D compatible with?,"The G.E. RIC5-9D is compatible with Voluson E6,  Voluson E8,  Voluson E10,  LOGIQ S7,  LOGIQ S8,  Vivid E95,  LOGIQ E9,  LOGIQ E10 ultrasound systems.",['Compatibility'],"['G.E.', 'RIC5-9D', 'Voluson E6, Voluson E8, Voluson E10, LOGIQ S7, LOGIQ S8, Vivid E95, LOGIQ E9, LOGIQ E10']"
Can the G.E. RIC5-9D work with the  LOGIQ S7?,"Yes, the G.E. RIC5-9D is compatible with the  LOGIQ S7 ultrasound system, as well as Voluson E6,  Voluson E8,  Voluson E10,  LOGIQ S8,  Vivid E95,  LOGIQ E9,  LOGIQ E10.",['Compatibility'],"['G.E.', 'RIC5-9D', ' LOGIQ S7']"
Can the G.E. RIC5-9D work with the EPIQ 7?,"No, the G.E. RIC5-9D is not compatible with the EPIQ 7 ultrasound system.",['Compatibility'],"['G.E.', 'RIC5-9D']"
What type of probe is the G.E. RIC5-9D?,The G.E. RIC5-9D is a Micro Convex Array probe with a frequency range of 5-9 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['G.E.', 'RIC5-9D', 'Micro Convex Array']"
What can the G.E. RIC5-9D be used for?,"The G.E. RIC5-9D can be used for urological, intercavity, gynecologic, obstetric applications.",['Applications'],"['G.E.', 'RIC5-9D', 'urological, intercavity, gynecologic, obstetric']"
Do you have any G.E. RIC5-9D for sale?,"Yes, we currently have G.E. RIC5-9D available for sale.",['Stock'],"['G.E.', 'RIC5-9D']"
Do you have any RIC5-9D for Voluson E8 for sale?,"Yes, we currently have the G.E. RIC5-9D for the Voluson E8 available for sale.","['Stock', 'Compatibility']","['G.E.', 'RIC5-9D', 'Voluson E8']"
Who is the manufacturer of C5-1 with a Cartridge connector transducer?,The C5-1 probe with a Cartridge connection is made by Philips.,['Manufacturer'],"['Philips', 'C5-1']"
Is C5-1 with a Cartridge connector made by Philips or Siemens Acuson?,The C5-1 with a Cartridge connector probe is made by Philips.,['Manufacturer'],"['Philips', 'C5-1']"
What systems is Philips C5-1 with a Cartridge connector compatible with?,"The Philips C5-1 with a Cartridge connector is compatible with EPIQ 5,  EPIQ 7,  CX50,  Affiniti 70 ultrasound systems.",['Compatibility'],"['Philips', 'C5-1', 'EPIQ 5, EPIQ 7, CX50, Affiniti 70']"
Does the Philips C5-1 with a Cartridge connector work with the  EPIQ 7?,"Yes, the Philips C5-1 with a Cartridge connector is compatible with the  EPIQ 7 ultrasound system, as well as EPIQ 5,  CX50,  Affiniti 70.",['Compatibility'],"['Philips', 'C5-1', ' EPIQ 7']"
Can the Philips C5-1 with a Cartridge connector work with the S2000?,"No, the Philips C5-1 with a Cartridge connector is not compatible with the S2000 ultrasound system.",['Compatibility'],"['Philips', 'C5-1']"
What type of probe is the Philips C5-1 with a Cartridge connector?,The Philips C5-1 is a Convex Array probe with a frequency range of 1-5 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['Philips', 'C5-1', 'Convex Array']"
What can the Philips C5-1 with a Cartridge connector be used for?,"The Philips C5-1 with a Cartridge connector can be used for general, abdominal, obstetric, gynecologic applications.",['Applications'],"['Philips', 'C5-1', 'general, abdominal, obstetric, gynecologic']"
Do you have any Philips C5-1 with a Cartridge connector for sale?,"Yes, we currently have Philips C5-1 with a Cartridge connector available for sale.",['Stock'],"['Philips', 'C5-1']"
Do you have any C5-1 with a Cartridge connector for EPIQ 5 for sale?,"Yes, we currently have the Philips C5-1 with a Cartridge connector for the EPIQ 5 available for sale.","['Stock', 'Compatibility']","['Philips', 'C5-1', 'EPIQ 5']"
Who is the manufacturer of C5-1?,The C5-1 probe is made by Philips.,['Manufacturer'],"['Philips', 'C5-1']"
Is C5-1 made by Philips or G.E.?,The C5-1 probe is made by Philips.,['Manufacturer'],"['Philips', 'C5-1']"
What systems is Philips C5-1 compatible with?,"The Philips C5-1 is compatible with iU22,  iE33 ultrasound systems.",['Compatibility'],"['Philips', 'C5-1', 'iU22, iE33']"
Can the Philips C5-1 work with the  iE33?,"Yes, the Philips C5-1 is compatible with the  iE33 ultrasound system, as well as iU22.",['Compatibility'],"['Philips', 'C5-1', ' iE33']"
Can the Philips C5-1 work with the HD7?,"No, the Philips C5-1 is not compatible with the HD7 ultrasound system.",['Compatibility'],"['Philips', 'C5-1']"
What type of probe is the Philips C5-1?,The Philips C5-1 is a Convex Array probe with a frequency range of 1-5 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['Philips', 'C5-1', 'Convex Array']"
What can the Philips C5-1 be used for?,"The Philips C5-1 can be used for general, abdominal, obstetric, gynecologic applications.",['Applications'],"['Philips', 'C5-1', 'general, abdominal, obstetric, gynecologic']"
Do you have any Philips C5-1 for sale?,"Yes, we currently have Philips C5-1 available for sale.",['Stock'],"['Philips', 'C5-1']"
Do you have any C5-1 for iE33 for sale?,"Yes, we currently have the Philips C5-1 for the iE33 available for sale.","['Stock', 'Compatibility']","['Philips', 'C5-1', 'iE33']"
Who is the maker of C5-2 probe?,The C5-2 probe is made by Philips.,['Manufacturer'],"['Philips', 'C5-2']"
Is C5-2 made by Philips or ATL?,The C5-2 is made by both Philips and ATL.,['Manufacturer'],"['Philips', 'C5-2']"
What systems is Philips C5-2 compatible with?,"The Philips C5-2 is compatible with HD11,  HD11 XE ultrasound systems.",['Compatibility'],"['Philips', 'C5-2', 'HD11, HD11 XE']"
Does the Philips C5-2 work with the  HD11 XE?,"Yes, the Philips C5-2 is compatible with the  HD11 XE ultrasound system, as well as HD11.",['Compatibility'],"['Philips', 'C5-2', ' HD11 XE']"
Can the Philips C5-2 work with the CX30?,"No, the Philips C5-2 is not compatible with the CX30 ultrasound system.",['Compatibility'],"['Philips', 'C5-2']"
What type of probe is the Philips C5-2?,The Philips C5-2 is a Convex Array probe with a frequency range of 2-5 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['Philips', 'C5-2', 'Convex Array']"
What can the Philips C5-2 be used for?,"The Philips C5-2 can be used for abdominal, obstetric, gynecologic, general applications.",['Applications'],"['Philips', 'C5-2', 'abdominal, obstetric, gynecologic, general']"
Do you have any Philips C5-2 in stock?,"Yes, we currently have Philips C5-2 available for sale.",['Stock'],"['Philips', 'C5-2']"
Do you have any C5-2 for HD11 for sale?,"Yes, we currently have the Philips C5-2 for the HD11 available for sale.","['Stock', 'Compatibility']","['Philips', 'C5-2', 'HD11']"
Who is the manufacturer of C8-4v probe?,The C8-4v probe is made by Philips.,['Manufacturer'],"['Philips', 'C8-4v']"
Is C8-4v made by Philips or ATL?,The C8-4v is made by both Philips and ATL.,['Manufacturer'],"['Philips', 'C8-4v']"
What systems is Philips C8-4v compatible with?,"The Philips C8-4v is compatible with HD11,  HD11 XE,  HD15 ultrasound systems.",['Compatibility'],"['Philips', 'C8-4v', 'HD11, HD11 XE, HD15']"
Does the Philips C8-4v work with the  HD11 XE?,"Yes, the Philips C8-4v is compatible with the  HD11 XE ultrasound system, as well as HD11,  HD15.",['Compatibility'],"['Philips', 'C8-4v', ' HD11 XE']"
Does the Philips C8-4v work with the Affiniti 70?,"No, the Philips C8-4v is not compatible with the Affiniti 70 ultrasound system.",['Compatibility'],"['Philips', 'C8-4v']"
What type of probe is the Philips C8-4v?,The Philips C8-4v is a Endocavitary probe with a frequency range of 4-8 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['Philips', 'C8-4v', 'Endocavitary']"
What can the Philips C8-4v be used for?,"The Philips C8-4v can be used for transvaginal, transrectal, gynecologic, obstetric, prostate applications.",['Applications'],"['Philips', 'C8-4v', 'transvaginal, transrectal, gynecologic, obstetric, prostate']"
Do you have any Philips C8-4v in stock?,"Yes, we currently have Philips C8-4v available for sale.",['Stock'],"['Philips', 'C8-4v']"
Do you have any C8-4v for HD15 for sale?,"Yes, we currently have the Philips C8-4v for the HD15 available for sale.","['Stock', 'Compatibility']","['Philips', 'C8-4v', 'HD15']"
Who is the manufacturer of C8-5 transducer?,The C8-5 probe is made by Philips.,['Manufacturer'],"['Philips', 'C8-5']"
Is C8-5 made by Philips or ATL?,The C8-5 probe is made by Philips.,['Manufacturer'],"['Philips', 'C8-5']"
What systems is Philips C8-5 compatible with?,"The Philips C8-5 is compatible with iU22,  iE33,  CX30,  HD7,  HD9,  HD11 XE,  HD15 ultrasound systems.",['Compatibility'],"['Philips', 'C8-5', 'iU22, iE33, CX30, HD7, HD9, HD11 XE, HD15']"
Can the Philips C8-5 work with the  HD9?,"Yes, the Philips C8-5 is compatible with the  HD9 ultrasound system, as well as iU22,  iE33,  CX30,  HD7,  HD11 XE,  HD15.",['Compatibility'],"['Philips', 'C8-5', ' HD9']"
Can the Philips C8-5 work with the HD11?,"No, the Philips C8-5 is not compatible with the HD11 ultrasound system.",['Compatibility'],"['Philips', 'C8-5']"
What type of probe is the Philips C8-5?,The Philips C8-5 is a Convex Array probe with a frequency range of 5-8 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['Philips', 'C8-5', 'Convex Array']"
What can the Philips C8-5 be used for?,"The Philips C8-5 can be used for abdominal, obstetric, gynecologic, pediatric, musculoskeletal, vascular applications.",['Applications'],"['Philips', 'C8-5', 'abdominal, obstetric, gynecologic, pediatric, musculoskeletal, vascular']"
Do you have any Philips C8-5 for sale?,"Yes, we currently have Philips C8-5 available for sale.",['Stock'],"['Philips', 'C8-5']"
Do you have any C8-5 for iU22 for sale?,"Yes, we currently have the Philips C8-5 for the iU22 available for sale.","['Stock', 'Compatibility']","['Philips', 'C8-5', 'iU22']"
Who is the manufacturer of C9-3v with a Cartridge connector probe?,The C9-3v probe is made by Philips.,['Manufacturer'],"['Philips', 'C9-3v']"
Is C9-3v with a Cartridge connector made by Philips or G.E.?,The C9-3v with a Cartridge connector probe is made by Philips.,['Manufacturer'],"['Philips', 'C9-3v']"
What systems is Philips C9-3v with a Cartridge connector compatible with?,"The Philips C9-3v with a Cartridge connector is compatible with CX50,  EPIQ ultrasound systems.",['Compatibility'],"['Philips', 'C9-3v', 'CX50, EPIQ']"
Can the Philips C9-3v with a Cartridge connector work with the  EPIQ?,"Yes, the Philips C9-3v with a Cartridge connector is compatible with the  EPIQ ultrasound system, as well as CX50.",['Compatibility'],"['Philips', 'C9-3v', ' EPIQ']"
Can the Philips C9-3v with a Cartridge connector work with the LOGIQ E9?,"No, the Philips C9-3v with a Cartridge connector is not compatible with the LOGIQ E9 ultrasound system.",['Compatibility'],"['Philips', 'C9-3v']"
What type of probe is the Philips C9-3v with a Cartridge connector?,The Philips C9-3v is a Convex Array probe with a frequency range of 3-9 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['Philips', 'C9-3v', 'Convex Array']"
What can the Philips C9-3v with a Cartridge connector be used for?,"The Philips C9-3v with a Cartridge connector can be used for endovaginal, gynecologic, obstetric applications.",['Applications'],"['Philips', 'C9-3v', 'endovaginal, gynecologic, obstetric']"
Do you have any Philips C9-3v with a Cartridge connector for sale?,"Yes, we currently have Philips C9-3v with a Cartridge connector available for sale.",['Stock'],"['Philips', 'C9-3v']"
Do you have any C9-3v with a Cartridge connector for EPIQ for sale?,"Yes, we currently have the Philips C9-3v with a Cartridge connector for the EPIQ available for sale.","['Stock', 'Compatibility']","['Philips', 'C9-3v', 'EPIQ']"
Who is the manufacturer of L12-3 with a Cartridge connector transducer?,The L12-3 probe with a Cartridge connection is made by Philips.,['Manufacturer'],"['Philips', 'L12-3']"
Is L12-3 with a Cartridge connector made by Philips or Siemens Acuson?,The L12-3 with a Cartridge connector probe is made by Philips.,['Manufacturer'],"['Philips', 'L12-3']"
What systems is Philips L12-3 with a Cartridge connector compatible with?,"The Philips L12-3 with a Cartridge connector is compatible with EPIQ 5,  EPIQ 7,  CX50,  Affiniti 70 ultrasound systems.",['Compatibility'],"['Philips', 'L12-3', 'EPIQ 5, EPIQ 7, CX50, Affiniti 70']"
Does the Philips L12-3 with a Cartridge connector work with the EPIQ 5?,"Yes, the Philips L12-3 with a Cartridge connector is compatible with the EPIQ 5 ultrasound system, as well as  EPIQ 7,  CX50,  Affiniti 70.",['Compatibility'],"['Philips', 'L12-3', 'EPIQ 5']"
Does the Philips L12-3 with a Cartridge connector work with the iU22?,"No, the Philips L12-3 with a Cartridge connector is not compatible with the iU22 ultrasound system.",['Compatibility'],"['Philips', 'L12-3']"
What type of probe is the Philips L12-3 with a Cartridge connector?,The Philips L12-3 is a Linear Array probe with a frequency range of 3-12 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['Philips', 'L12-3', 'Linear Array']"
What can the Philips L12-3 with a Cartridge connector be used for?,"The Philips L12-3 with a Cartridge connector can be used for vascular, musculoskeletal, breast, small parts applications.",['Applications'],"['Philips', 'L12-3', 'vascular, musculoskeletal, breast, small parts']"
Do you have any Philips L12-3 with a Cartridge connector in stock?,"Yes, we currently have Philips L12-3 with a Cartridge connector available for sale.",['Stock'],"['Philips', 'L12-3']"
Do you have any L12-3 with a Cartridge connector for Affiniti 70 for sale?,"Yes, we currently have the Philips L12-3 with a Cartridge connector for the Affiniti 70 available for sale.","['Stock', 'Compatibility']","['Philips', 'L12-3', 'Affiniti 70']"
Who is the maker of L12-3 transducer?,The L12-3 probe is made by Philips.,['Manufacturer'],"['Philips', 'L12-3']"
Is L12-3 made by Philips or ATL?,The L12-3 probe is made by Philips.,['Manufacturer'],"['Philips', 'L12-3']"
What systems is Philips L12-3 compatible with?,"The Philips L12-3 is compatible with iU22,  iE33,  HD11,  HD11 XE,  HD15 ultrasound systems.",['Compatibility'],"['Philips', 'L12-3', 'iU22, iE33, HD11, HD11 XE, HD15']"
Can the Philips L12-3 work with the  HD15?,"Yes, the Philips L12-3 is compatible with the  HD15 ultrasound system, as well as iU22,  iE33,  HD11,  HD11 XE.",['Compatibility'],"['Philips', 'L12-3', ' HD15']"
Can the Philips L12-3 work with the LOGIQ E9?,"No, the Philips L12-3 is not compatible with the LOGIQ E9 ultrasound system.",['Compatibility'],"['Philips', 'L12-3']"
What type of probe is the Philips L12-3?,The Philips L12-3 is a Linear Array probe with a frequency range of 3-12 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['Philips', 'L12-3', 'Linear Array']"
What can the Philips L12-3 be used for?,"The Philips L12-3 can be used for vascular, small parts, musculoskeletal, superficial applications.",['Applications'],"['Philips', 'L12-3', 'vascular, small parts, musculoskeletal, superficial']"
Do you have any Philips L12-3 in stock?,We currently do not have any Philips L12-3 in stock.,['Stock'],"['Philips', 'L12-3']"
Do you have any L12-3 for HD11 for sale?,"Unfortunately, we do not have any Philips L12-3 for the HD11 available for sale.","['Stock', 'Compatibility']","['Philips', 'L12-3', 'HD11']"
Who is the manufacturer of L15-7io?,The L15-7io probe is made by Philips.,['Manufacturer'],"['Philips', 'L15-7io']"
Is L15-7io made by Philips or ATL?,The L15-7io probe is made by Philips.,['Manufacturer'],"['Philips', 'L15-7io']"
What systems is Philips L15-7io compatible with?,The Philips L15-7io is compatible with iU22 ultrasound systems.,['Compatibility'],"['Philips', 'L15-7io', 'iU22']"
Can the Philips L15-7io work with the iU22?,"Yes, the Philips L15-7io is compatible with the iU22 ultrasound system.",['Compatibility'],"['Philips', 'L15-7io', 'iU22']"
Does the Philips L15-7io work with the LOGIQ E10?,"No, the Philips L15-7io is not compatible with the LOGIQ E10 ultrasound system.",['Compatibility'],"['Philips', 'L15-7io']"
What type of probe is the Philips L15-7io?,The Philips L15-7io is a Linear Array probe with a frequency range of 7-15 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['Philips', 'L15-7io', 'Linear Array']"
What can the Philips L15-7io be used for?,"The Philips L15-7io can be used for vascular, musculoskeletal, small parts, superficial, surgical applications.",['Applications'],"['Philips', 'L15-7io', 'vascular, musculoskeletal, small parts, superficial, surgical']"
Do you have any Philips L15-7io in stock?,"Yes, we currently have Philips L15-7io available for sale.",['Stock'],"['Philips', 'L15-7io']"
Do you have any L15-7io for iU22 for sale?,"Yes, we currently have the Philips L15-7io for the iU22 available for sale.","['Stock', 'Compatibility']","['Philips', 'L15-7io', 'iU22']"
Who is the manufacturer of L17-5 probe?,The L17-5 probe is made by Philips.,['Manufacturer'],"['Philips', 'L17-5']"
Is L17-5 made by Philips or ATL?,The L17-5 probe is made by Philips.,['Manufacturer'],"['Philips', 'L17-5']"
What systems is Philips L17-5 compatible with?,The Philips L17-5 is compatible with iU22 ultrasound systems.,['Compatibility'],"['Philips', 'L17-5', 'iU22']"
Can the Philips L17-5 work with the iU22?,"Yes, the Philips L17-5 is compatible with the iU22 ultrasound system.",['Compatibility'],"['Philips', 'L17-5', 'iU22']"
Can the Philips L17-5 work with the HD11 XE?,"No, the Philips L17-5 is not compatible with the HD11 XE ultrasound system.",['Compatibility'],"['Philips', 'L17-5']"
What type of probe is the Philips L17-5?,The Philips L17-5 is a Linear Array probe with a frequency range of 5-17 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['Philips', 'L17-5', 'Linear Array']"
What can the Philips L17-5 be used for?,"The Philips L17-5 can be used for vascular, musculoskeletal, small parts, superficial applications.",['Applications'],"['Philips', 'L17-5', 'vascular, musculoskeletal, small parts, superficial']"
Do you have any Philips L17-5 for sale?,"Yes, we currently have Philips L17-5 available for sale.",['Stock'],"['Philips', 'L17-5']"
Do you have any L17-5 for iU22 for sale?,"Yes, we currently have the Philips L17-5 for the iU22 available for sale.","['Stock', 'Compatibility']","['Philips', 'L17-5', 'iU22']"
Who is the manufacturer of S4-1 probe?,The S4-1 probe is made by Philips.,['Manufacturer'],"['Philips', 'S4-1']"
Is S4-1 made by Philips or ATL?,The S4-1 probe is made by Philips.,['Manufacturer'],"['Philips', 'S4-1']"
What systems is Philips S4-1 compatible with?,"The Philips S4-1 is compatible with iU22,  iE33,  HD11,  HD11 XE ultrasound systems.",['Compatibility'],"['Philips', 'S4-1', 'iU22, iE33, HD11, HD11 XE']"
Does the Philips S4-1 work with the  HD11 XE?,"Yes, the Philips S4-1 is compatible with the  HD11 XE ultrasound system, as well as iU22,  iE33,  HD11.",['Compatibility'],"['Philips', 'S4-1', ' HD11 XE']"
Does the Philips S4-1 work with the LOGIQ S7?,"No, the Philips S4-1 is not compatible with the LOGIQ S7 ultrasound system.",['Compatibility'],"['Philips', 'S4-1']"
What type of probe is the Philips S4-1?,The Philips S4-1 is a Sector Array probe with a frequency range of 1-4 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['Philips', 'S4-1', 'Sector Array']"
What can the Philips S4-1 be used for?,"The Philips S4-1 can be used for cardiac, abdominal, transcranial applications.",['Applications'],"['Philips', 'S4-1', 'cardiac, abdominal, transcranial']"
Do you have any Philips S4-1 for sale?,"Yes, we currently have Philips S4-1 available for sale.",['Stock'],"['Philips', 'S4-1']"
Do you have any S4-1 for iU22 for sale?,"Yes, we currently have the Philips S4-1 for the iU22 available for sale.","['Stock', 'Compatibility']","['Philips', 'S4-1', 'iU22']"
Who is the manufacturer of S4-2 with a Cartridge connector probe?,The S4-2 probe with a Cartridge connection is made by Philips.,['Manufacturer'],"['Philips', 'S4-2']"
