content,tags,question,score
The frequency range of the Philips L15-7io probe is 7.0 - 15.0 MHz.,"frozenset({'frequency', 'Philips', 'L15-7io', 'probes'})",What is the frequency range of the Philips L15-7io probe?,1
The manufacturer of the RAB2-5L probe is G.E..,"frozenset({'G.E.', 'manufacturer', 'RAB2-5L', 'probes'})",What manufacturer produces the RAB2-5L transducer?,1
The G.E. RAB2-5L probe is currently in stock and available for sale.,"frozenset({'G.E.', 'RAB2-5L', 'stock', 'probes'})",Are there any G.E. RAB2-5L transducers available for purchase?,1
"The Philips CX50 ultrasound system is compatible with the following Philips probes: C5-1, C9-3v, L12-3, S4-2.","frozenset({'systems', 'CX50', 'compatibility', 'C5-1, C9-3v, L12-3, S4-2', 'Philips'})",Does the Philips CX50 system support the C9-3v transducer?,1
The ATL P7-4 probe is compatible with the following systems: HDI 5000.,"frozenset({'HDI 5000', 'ATL', 'probes', 'compatibility', 'P7-4'})",What systems is the ATL P7-4 probe compatible with?,1
The manufacturer of the 7V3c probe is Siemens Acuson.,"frozenset({'manufacturer', '7V3c', 'Siemens Acuson', 'probes'})",Who manufactures the 7V3c probe?,1
The frequency range of the ATL P3-2 probe is 2.0 - 3.0 MHz.,"frozenset({'ATL', 'frequency', 'P3-2', 'probes'})",What is the frequency range of the ATL P3-2 probe?,1
"The Philips L12-3 probe is suitable for the following applications: vascular, musculoskeletal, breast, small parts.","frozenset({'L12-3', 'probes', 'vascular, musculoskeletal, breast, small parts', 'applications', 'Philips'})",Is the Philips L12-3 suitable for musculoskeletal applications?,1
"The ATL C8-4v probe is suitable for the following applications: endovaginal, gynecological, endocavitary.","frozenset({'C8-4v', 'ATL', 'probes', 'endovaginal, gynecological, endocavitary', 'applications'})",Can the ATL C8-4v probe be used for endovaginal and gynecological procedures?,1
The ATL P7-4 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'stock', 'P7-4', 'probes'})",What is the status of the ATL P7-4 probe's availability?,1
"The Philips S4-2 probe is suitable for the following applications: cardiac, abdominal, pediatric, transcranial.","frozenset({'S4-2', 'cardiac, abdominal, pediatric, transcranial', 'probes', 'applications', 'Philips'})",What kind of applications is the Philips S4-2 probe suitable for?,1
The ATL C7-4 is a convex array type probe.,"frozenset({'ATL', 'array type', 'C7-4', 'probes'})",What array type is the ATL C7-4?,1
The manufacturer of the P4-1 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P4-1', 'probes'})",Is the P4-1 probe made by ATL?,1
The Siemens Acuson 15L8W probe is compatible with the following systems: Sequoia.,"frozenset({'Siemens Acuson', 'probes', 'compatibility', 'Sequoia', '15L8W'})",Are there any other systems besides Sequoia that the Siemens Acuson 15L8W probe is compatible with?,1
The frequency range of the Philips S4-2 probe is 2.0 - 4.0 MHz.,"frozenset({'S4-2', 'frequency', 'Philips', 'probes'})",What is the minimum frequency of the Philips S4-2 probe?,1
The frequency range of the G.E. 227s probe is 2.0 - 4.0 MHz.,"frozenset({'G.E.', 'frequency', '227s', 'probes'})",What is the frequency range of the G.E. 227s probe?,1
The manufacturer of the C5-2 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C5-2', 'probes'})",Who is the manufacturer of the C5-2 probe?,1
The manufacturer of the 15L8W probe is Siemens Acuson.,"frozenset({'15L8W', 'manufacturer', 'Siemens Acuson', 'probes'})",Who is the manufacturer of the 15L8W probe?,1
The Vivid E95 ultrasound system is made by G.E..,"frozenset({'G.E.', 'manufacturer', 'Vivid E95', 'systems'})",Is the Vivid E95 a G.E. ultrasound device?,1
The iE33 ultrasound system is made by Philips.,"frozenset({'manufacturer', 'Philips', 'systems', 'iE33'})",Does Philips manufacture the iE33 ultrasound system?,1
"The Siemens Acuson 9EVF4 probe is compatible with the following systems: S1000, S2000, S3000.","frozenset({'Siemens Acuson', '9EVF4', 'probes', 'compatibility', 'S1000, S2000, S3000'})",What systems are compatible with the Siemens Acuson 9EVF4 probe?,1
"The ATL CL 10-5 probe is suitable for the following applications: small parts, vascular.","frozenset({'small parts, vascular', 'ATL', 'probes', 'applications', 'CL 10-5'})",Is the ATL CL 10-5 probe designed for vascular imaging?,1
The ATL HDI 4000 ultrasound system is compatible with the following ATL probes: C9-5ICT.,"frozenset({'systems', 'C9-5ICT', 'HDI 4000', 'ATL', 'compatibility'})",Which ATL probes are compatible with the ATL HDI 4000 ultrasound system?,1
"The G.E. RAB2-5L probe is compatible with the following systems: Voluson 730 Pro, Voluson 730.","frozenset({'G.E.', 'probes', 'compatibility', 'Voluson 730 Pro, Voluson 730', 'RAB2-5L'})",Is the G.E. RAB2-5L probe suitable for use with the Voluson 730 Pro system?,1
The Sequoia 512 ultrasound system is made by Siemens Acuson.,"frozenset({'Sequoia 512', 'systems', 'manufacturer', 'Siemens Acuson'})",Who makes the Sequoia 512 ultrasound system?,1
"The ATL C4-2 probe is suitable for the following applications: abdominal, obstetric, gynecologic, general.","frozenset({'C4-2', 'ATL', 'abdominal, obstetric, gynecologic, general', 'probes', 'applications'})",Can the ATL C4-2 probe be used for obstetric purposes?,1
The ATL P4-1 probe is currently in stock and available for sale.,"frozenset({'ATL', 'P4-1', 'stock', 'probes'})",Are there any ATL P4-1 probes available for sale?,1
The ATL P5-3 is a phased array type probe.,"frozenset({'ATL', 'array type', 'P5-3', 'probes'})",What type of array is the ATL P5-3 probe?,1
"The Philips C9-3v probe is compatible with the following systems: CX50, EPIQ 5, EPIQ 7.","frozenset({'probes', 'compatibility', 'CX50, EPIQ 5, EPIQ 7', 'C9-3v', 'Philips'})",Does the Philips C9-3v probe work with the CX50 system?,1
"The ATL C7-4 probe is suitable for the following applications: cardiac, vascular, general.","frozenset({'C7-4', 'cardiac, vascular, general', 'ATL', 'probes', 'applications'})",What can the ATL C7-4 probe be used for?,1
The frequency range of the Philips L17-5 probe is 5.0 - 17.0 MHz.,"frozenset({'frequency', 'L17-5', 'Philips', 'probes'})",Is the minimum frequency range of the Philips L17-5 probe 5.0 MHz?,1
The frequency range of the ATL C9-5ICT probe is 5.0 - 9.0 MHz.,"frozenset({'ATL', 'frequency', 'C9-5ICT', 'probes'})",Does the frequency range of the ATL C9-5ICT probe exceed 8.0 MHz?,1
The Siemens Acuson 12L3 is a linear array type probe.,"frozenset({'array type', '12L3', 'Siemens Acuson', 'probes'})",Is the Siemens Acuson 12L3 a convex or linear array probe?,1
"The ATL L12-5 probe is suitable for the following applications: general, small parts, vascular.","frozenset({'ATL', 'probes', 'L12-5', 'applications', 'general, small parts, vascular'})",Can the ATL L12-5 probe be used for vascular applications?,1
The manufacturer of the L12-3 probe is Philips.,"frozenset({'L12-3', 'manufacturer', 'Philips', 'probes'})",Is the Philips L12-3 probe suitable for cardiac applications?,1
"The ATL HDI 3500 ultrasound system is compatible with the following ATL probes: C5-2, C5-IVT, C8-4v, CT8-4.","frozenset({'systems', 'C5-2, C5-IVT, C8-4v, CT8-4', 'ATL', 'compatibility', 'HDI 3500'})",Are the C5-2 and C8-4v probes compatible with the HDI 3500?,1
The Vivid E95 ultrasound system is made by G.E..,"frozenset({'G.E.', 'manufacturer', 'Vivid E95', 'systems'})",What company makes the Vivid E95 transducer?,1
The frequency range of the ATL C5-IVT probe is 4.0 - 6.0 MHz.,"frozenset({'ATL', 'frequency', 'C5-IVT', 'probes'})",Are the frequencies used by the ATL C5-IVT transducer within the 4.0 - 6.0 MHz range?,1
The ATL L12-5 probe is currently in stock and available for sale.,"frozenset({'ATL', 'L12-5', 'stock', 'probes'})",What is the availability status of the ATL L12-5 probe?,1
"The Philips C5-1 probe is compatible with the following systems: iU22, iE33.","frozenset({'iU22, iE33', 'probes', 'C5-1', 'compatibility', 'Philips'})",Is the Philips C5-1 probe transducer compatible with the iE33 system?,1
The frequency range of the Philips L15-7io probe is 7.0 - 15.0 MHz.,"frozenset({'frequency', 'Philips', 'L15-7io', 'probes'})",What is the minimum and maximum frequency of the Philips L15-7io transducer?,1
"The ATL C5-2 probe is suitable for the following applications: abdominal, general.","frozenset({'C5-2', 'abdominal, general', 'ATL', 'probes', 'applications'})",Is the ATL C5-2 probe suitable for abdominal applications?,1
The Siemens Acuson 12L3 is a linear array type probe.,"frozenset({'array type', '12L3', 'Siemens Acuson', 'probes'})",What kind of transducer array does the Siemens Acuson 12L3 use?,1
The manufacturer of the 5C2 probe is Siemens Acuson.,"frozenset({'manufacturer', '5C2', 'Siemens Acuson', 'probes'})",Is the manufacturer of the 5C2 probe a well-known ultrasound company?,1
The manufacturer of the L12-5 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'L12-5', 'probes'})",Is the manufacturer of the L12-5 probe also responsible for its frequency range?,1
The Philips L12-3 probe is currently out of stock or not available for sale.,"frozenset({'L12-3', 'Philips', 'stock', 'probes'})",Is the Philips L12-3 probe available for sale?,1
"The Philips C8-5 probe is compatible with the following systems: iU22, iE33, CX30, HD7, HD9, HD11 XE, HD15.","frozenset({'iU22, iE33, CX30, HD7, HD9, HD11 XE, HD15', 'C8-5', 'probes', 'compatibility', 'Philips'})",What systems is the Philips C8-5 probe compatible with?,1
The ATL CT8-4 probe is currently in stock and available for sale.,"frozenset({'ATL', 'CT8-4', 'stock', 'probes'})",Is the ATL CT8-4 probe currently in stock?,1
The iU22 ultrasound system is made by Philips.,"frozenset({'iU22', 'manufacturer', 'Philips', 'systems'})",Is the iU22 ultrasound system made by Philips?,1
The manufacturer of the C8-4v probe is Philips.,"frozenset({'manufacturer', 'Philips', 'C8-4v', 'probes'})",Who manufactures the C8-4v probe?,1
The Philips C5-1 is a convex array type probe.,"frozenset({'array type', 'C5-1', 'Philips', 'probes'})",What array type is the Philips C5-1?,1
"The ATL P4-2 probe is suitable for the following applications: cardiac, general.","frozenset({'cardiac, general', 'P4-2', 'ATL', 'probes', 'applications'})",What type of probes does the ATL P4-2 fall under?,1
The Philips L12-3 probe has a variant with a cartridge connection.,"frozenset({'L12-3', 'connection', 'Philips', 'probes'})",Does the Philips L12-3 probe have a cartridge connection?,1
"The G.E. 227s probe is suitable for the following applications: cardiac, vascular, general.","frozenset({'cardiac, vascular, general', 'G.E.', 'probes', 'applications', '227s'})",What applications is the G.E. 227s probe suitable for?,1
The S2000 ultrasound system is made by Siemens Acuson.,"frozenset({'manufacturer', 'systems', 'S2000', 'Siemens Acuson'})",Who makes the S2000 ultrasound system?,1
The manufacturer of the C5-1 probe is Philips.,"frozenset({'manufacturer', 'Philips', 'C5-1', 'probes'})",Is the Philips C5-1 probe a product from this company?,1
The frequency range of the ATL CT8-4 probe is 4.0 - 8.0 MHz.,"frozenset({'ATL', 'CT8-4', 'frequency', 'probes'})",What is the frequency range of the ATL CT8-4 probe?,1
The HDI 1500 ultrasound system is made by ATL.,"frozenset({'manufacturer', 'systems', 'HDI 1500', 'ATL'})",Is the HDI 1500 ultrasound system made by ATL?,1
The G.E. 227s is a phased array type probe.,"frozenset({'G.E.', 'array type', '227s', 'probes'})",Does the G.E. 227s use a phased array technology?,1
The frequency range of the ATL C7-4 probe is 4.0 - 7.0 MHz.,"frozenset({'ATL', 'frequency', 'C7-4', 'probes'})",What is the maximum frequency of the ATL C7-4 probe?,1
The frequency range of the ATL P5-3 probe is 3.0 - 5.0 MHz.,"frozenset({'ATL', 'frequency', 'P5-3', 'probes'})",What is the frequency range of the ATL P5-3 probe?,1
The manufacturer of the P4-2 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'P4-2', 'probes'})",Is the manufacturer of the P4-2 probe ATL?,1
The Philips L17-5 probe is compatible with the following systems: iU22.,"frozenset({'L17-5', 'Philips', 'probes', 'compatibility', 'iU22'})",Is the Philips L17-5 probe compatible with the iU22 system?,1
The manufacturer of the L7-4 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'L7-4', 'probes'})",What is true about the manufacturer of the L7-4 probe?,1
The Siemens Acuson 12L3 probe is currently out of stock or not available for sale.,"frozenset({'stock', '12L3', 'Siemens Acuson', 'probes'})",What status does the Siemens Acuson 12L3 probe have in terms of availability?,1
The manufacturer of the L17-5 probe is Philips.,"frozenset({'manufacturer', 'L17-5', 'Philips', 'probes'})",What company produces the L17-5 transducer?,1
The manufacturer of the C7-4 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C7-4', 'probes'})",What is the manufacturer of the transducer used in the C7-4 probe?,1
The LOGIQ E10 ultrasound system is made by G.E..,"frozenset({'G.E.', 'manufacturer', 'LOGIQ E10', 'systems'})",Who makes the LOGIQ E10 ultrasound system?,1
The manufacturer of the RIC5-9D probe is G.E..,"frozenset({'G.E.', 'manufacturer', 'RIC5-9D', 'probes'})",Who is the manufacturer of the RIC5-9D probe?,1
"The Siemens Acuson S1000 ultrasound system is compatible with the following Siemens Acuson probes: 10V4, 9EVF4.","frozenset({'S1000', '10V4, 9EVF4', 'systems', 'Siemens Acuson', 'compatibility'})",Which Siemens Acuson probes are compatible with the Siemens Acuson S1000 ultrasound system?,1
The G.E. LOGIQ E9 ultrasound system is compatible with the following G.E. probes: RIC5-9D.,"frozenset({'systems', 'G.E.', 'compatibility', 'RIC5-9D', 'LOGIQ E9'})",Can the LOGIQ E9 system work with the RIC5-9D probe?,1
The manufacturer of the 5C2 probe is Siemens Acuson.,"frozenset({'manufacturer', '5C2', 'Siemens Acuson', 'probes'})",Does the Siemens Acuson brand make the 5C2 transducer?,1
